2026-05-09 22:24:48 - Action: pump_control, State: on, Mode: 
2026-05-09 22:24:48 - Action: pump_control, State: off, Mode: 
2026-05-09 22:24:48 - Action: pump_control, State: on, Mode: 
2026-05-09 22:24:48 - Action: pump_control, State: off, Mode: 
2026-05-09 22:48:47 - Action: set_mode, State: , Mode: manual
2026-05-09 22:49:19 - Action: set_mode, State: , Mode: manual
2026-05-09 23:00:07 - SUCCESS: Set state to on
2026-05-09 23:00:09 - SUCCESS: Set state to on
2026-05-09 23:00:10 - SUCCESS: Set state to on
2026-05-09 23:02:48 - SUCCESS: Set state to on
2026-05-09 23:08:25 - MODE SUCCESS: manual
2026-05-09 23:11:09 - RECV: {"action":"set_mode","mode":"auto","force_off":"1"} | RAW: 
2026-05-09 23:14:17 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-09 23:14:22 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 07:39:10 - RECV: {"action":"pump_control","state":"on"} | RAW: 
2026-05-10 07:44:54 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 07:44:57 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 07:45:06 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 07:45:26 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 07:46:03 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 07:46:17 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 07:52:09 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 07:52:16 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 07:52:17 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 07:52:18 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 07:52:21 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 07:52:29 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 07:54:30 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 07:58:04 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:08:16 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:08:28 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:08:40 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:08:54 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:09:17 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:10:06 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:10:07 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:10:16 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:10:17 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:10:22 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:10:30 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:14:26 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:14:30 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:14:35 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 08:14:40 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:14:43 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:16:58 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:17:11 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:17:12 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 08:24:28 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:24:37 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:33:23 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 08:33:28 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 08:33:36 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 08:33:46 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:34:09 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:34:13 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 08:34:35 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 08:34:44 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:36:06 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:38:03 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 08:38:05 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 08:38:07 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
