Turbidity,TDS,Temperature,Date
2.6,262,26.6,"2026-02-17 21:16:18"
1.8,222,21.7,"2026-02-17 22:16:18"
3.1,288,18.5,"2026-02-17 23:16:18"
2.1,360,23.4,"2026-02-18 00:16:18"
3.6,303,20.9,"2026-02-18 01:16:18"
4.8,519,22.2,"2026-02-18 02:16:18"
2.8,211,27.6,"2026-02-18 03:16:18"
2.3,283,27,"2026-02-18 04:16:18"
4.8,405,18.9,"2026-02-18 05:16:18"
1.3,245,24.5,"2026-02-18 06:16:18"
2.2,499,22.4,"2026-02-18 07:16:18"
5,456,20.4,"2026-02-18 08:16:18"
3.5,594,22.7,"2026-02-18 09:16:18"
1.7,267,24.1,"2026-02-18 10:16:18"
3.4,333,24.1,"2026-02-18 11:16:18"
3.6,298,22.8,"2026-02-18 12:16:18"
2.5,218,26.5,"2026-02-18 13:16:18"
1.2,206,18.1,"2026-02-18 14:16:18"
2.9,407,23.1,"2026-02-18 15:16:18"
1.4,585,21.5,"2026-02-18 16:16:18"
3,346,21.5,"2026-02-18 17:16:18"
2.3,584,24.3,"2026-02-18 18:16:18"
4.7,456,21.1,"2026-02-18 19:16:18"
4.8,203,27,"2026-02-18 20:16:18"
4,254,23.1,"2026-02-18 21:16:18"
2.8,420,23.3,"2026-02-18 22:16:18"
3.3,569,26.9,"2026-02-18 23:16:18"
3.7,302,20.2,"2026-02-19 00:16:18"
3.3,201,27.5,"2026-02-19 01:16:18"
4,553,21.4,"2026-02-19 02:16:18"
3.5,240,27.9,"2026-02-19 03:16:18"
3.1,557,20.2,"2026-02-19 04:16:18"
2.7,294,22.5,"2026-02-19 05:16:18"
3.6,557,19.1,"2026-02-19 06:16:18"
3.9,201,25.9,"2026-02-19 07:16:18"
2.1,375,19.7,"2026-02-19 08:16:18"
3.2,345,24.5,"2026-02-19 09:16:18"
2.5,582,27.1,"2026-02-19 10:16:18"
3.4,341,18.1,"2026-02-19 11:16:18"
2.2,245,23.6,"2026-02-19 12:16:18"
1.3,266,23.7,"2026-02-19 13:16:18"
1,290,19.7,"2026-02-19 14:16:18"
2.9,221,20.2,"2026-02-19 15:16:18"
3.2,327,21.7,"2026-02-19 16:16:18"
4.4,399,18,"2026-02-19 17:16:18"
1.5,490,19.8,"2026-02-19 18:16:18"
3.4,455,18.4,"2026-02-19 19:16:18"
3.5,202,23.5,"2026-02-19 20:16:18"
1.1,259,24.6,"2026-02-19 21:16:18"
1.8,261,24.8,"2026-02-19 22:16:18"
2.7,350,18.5,"2026-02-19 23:16:18"
2.1,496,24.1,"2026-02-20 00:16:18"
1.9,204,20.4,"2026-02-20 01:16:18"
2.3,256,25.7,"2026-02-20 02:16:18"
4.2,390,26.7,"2026-02-20 03:16:18"
5,369,27.1,"2026-02-20 04:16:18"
1.6,432,18.3,"2026-02-20 05:16:18"
4.3,482,24.5,"2026-02-20 06:16:18"
2.7,308,20.5,"2026-02-20 07:16:18"
2,346,24.9,"2026-02-20 08:16:18"
3.7,518,26.7,"2026-02-20 09:16:18"
1.8,459,24.6,"2026-02-20 10:16:18"
3.9,593,24.1,"2026-02-20 11:16:18"
1.3,515,19.4,"2026-02-20 12:16:18"
1,244,26.5,"2026-02-20 13:16:18"
3.4,542,25.9,"2026-02-20 14:16:18"
1.6,201,23.2,"2026-02-20 15:16:18"
1.3,230,19.6,"2026-02-20 16:16:18"
4,453,18.6,"2026-02-20 17:16:18"
5,475,23.3,"2026-02-20 18:16:18"
5,300,23.4,"2026-02-20 19:16:18"
2.7,373,25.5,"2026-02-20 20:16:18"
1.6,520,21.6,"2026-02-20 21:16:18"
1.1,419,25.5,"2026-02-20 22:16:18"
3.7,492,27.8,"2026-02-20 23:16:18"
2.5,571,24.1,"2026-02-21 00:16:18"
1.8,488,18.3,"2026-02-21 01:16:18"
3.8,492,25.3,"2026-02-21 02:16:18"
1.6,444,23.5,"2026-02-21 03:16:18"
3.7,261,21.1,"2026-02-21 04:16:18"
2.3,498,19.1,"2026-02-21 05:16:18"
2,389,20.2,"2026-02-21 06:16:18"
1.7,511,19.6,"2026-02-21 07:16:18"
2,321,24.8,"2026-02-21 08:16:18"
1.9,361,20.4,"2026-02-21 09:16:18"
1.8,242,23.3,"2026-02-21 10:16:18"
3,348,19.1,"2026-02-21 11:16:18"
2.9,453,18.8,"2026-02-21 12:16:18"
3.2,536,21.8,"2026-02-21 13:16:18"
1.1,299,25.8,"2026-02-21 14:16:18"
2.2,551,22,"2026-02-21 15:16:18"
3.2,236,21.1,"2026-02-21 16:16:18"
4,515,19.4,"2026-02-21 17:16:18"
2,446,20.9,"2026-02-21 18:16:18"
4.1,480,20.3,"2026-02-21 19:16:18"
1.4,303,18.3,"2026-02-21 20:16:18"
2.3,435,27.1,"2026-02-21 21:16:18"
3.2,523,18.6,"2026-02-21 22:16:18"
1.8,231,27.7,"2026-02-21 23:16:18"
1.8,389,26.6,"2026-02-22 00:16:18"
1.4,592,18.9,"2026-02-22 01:16:18"
5,359,27.1,"2026-02-22 02:16:18"
4.7,293,27.6,"2026-02-22 03:16:18"
2.8,306,22.1,"2026-02-22 04:16:18"
1,534,25.8,"2026-02-22 05:16:18"
5,288,21.5,"2026-02-22 06:16:18"
4,434,26.4,"2026-02-22 07:16:18"
3.4,299,27.6,"2026-02-22 08:16:18"
1.1,546,26.9,"2026-02-22 09:16:18"
3.5,373,24.8,"2026-02-22 10:16:18"
1.3,301,26,"2026-02-22 11:16:18"
2.8,224,22.6,"2026-02-22 12:16:18"
1.7,361,25.8,"2026-02-22 13:16:18"
3.1,302,24.4,"2026-02-22 14:16:18"
4.2,327,20.6,"2026-02-22 15:16:18"
1,225,22.5,"2026-02-22 16:16:18"
2.1,254,24.9,"2026-02-22 17:16:18"
2.7,237,21.5,"2026-02-22 18:16:18"
4.5,211,19.5,"2026-02-22 19:16:18"
3.2,499,22.6,"2026-02-22 20:16:18"
1.2,374,28,"2026-02-22 21:16:18"
2.6,540,18.8,"2026-02-22 22:16:18"
4,405,20,"2026-02-22 23:16:18"
2.8,222,18.2,"2026-02-23 00:16:18"
4.7,202,24.6,"2026-02-23 01:16:18"
4.5,268,18.3,"2026-02-23 02:16:18"
3.5,215,24.8,"2026-02-23 03:16:18"
1.1,411,18,"2026-02-23 04:16:18"
2.3,223,21.7,"2026-02-23 05:16:18"
4.9,386,27.6,"2026-02-23 06:16:18"
4.7,409,27,"2026-02-23 07:16:18"
3.2,219,22.7,"2026-02-23 08:16:18"
2.9,452,28,"2026-02-23 09:16:18"
5,595,26.3,"2026-02-23 10:16:18"
1,466,26.7,"2026-02-23 11:16:18"
1,570,20.4,"2026-02-23 12:16:18"
2.4,491,27.3,"2026-02-23 13:16:18"
1.9,553,20.2,"2026-02-23 14:16:18"
1.1,440,23.5,"2026-02-23 15:16:18"
4,358,19,"2026-02-23 16:16:18"
1.6,377,27.1,"2026-02-23 17:16:18"
3.8,600,28,"2026-02-23 18:16:18"
2.8,276,18.7,"2026-02-23 19:16:18"
1.7,531,25.4,"2026-02-23 20:16:18"
1.4,235,27,"2026-02-23 21:16:18"
1.9,560,22,"2026-02-23 22:16:18"
2.4,448,27.5,"2026-02-23 23:16:18"
2.8,324,18.2,"2026-02-24 00:16:18"
1.2,404,24,"2026-02-24 01:16:18"
4,539,21.2,"2026-02-24 02:16:18"
4.4,205,18.1,"2026-02-24 03:16:18"
2.7,217,27.2,"2026-02-24 04:16:18"
2.6,358,25.4,"2026-02-24 05:16:18"
3.2,293,22,"2026-02-24 06:16:18"
4.2,582,22.2,"2026-02-24 07:16:18"
2.2,249,26.7,"2026-02-24 08:16:18"
2.2,346,27.8,"2026-02-24 09:16:18"
4.5,353,18.7,"2026-02-24 10:16:18"
3.6,560,26.7,"2026-02-24 11:16:18"
1.9,392,25.2,"2026-02-24 12:16:18"
